leg_group_id,from_area_id,to_area_id,network_id,fare_product_id,from_timeframe_group_id,to_timeframe_group_id,rule_priority,transfer_only
3D,any,any,3D,3D:local:day,,,,
3D,any,any,3D,3D:local:single,,,,
3D,any,any,3D,3D:local:31-day,,,,
3D,any,any,3D,CC:local-eb-regional:31-day,,,,
3D,any,any,3D,CC:express-eb-regional:31-day,,,,
3D:regional,any,any,3D:regional,3D:regional:single,,,,
3D:regional,any,any,3D:regional,CC:express-eb-regional:31-day,,,,
AC,AC:local,AC:local,AC,AC:local:single,,,,
AC,AC:local,AC:local,AC,AC:local:day,,,,
AC,AC:local,AC:local,AC,AC:local:1-month,,,,
AC,AC:local,AC:local,AC,AC:local:31-day,,,,
AC,AC:local,AC:local,AC,AC:transbay:31-day,,,,
AC,AC:transbay,AC:transbay,AC,AC:local:single,,,,
AC,AC:transbay,AC:transbay,AC,AC:local:1-month,,,,
AC,AC:transbay,AC:transbay,AC,AC:local:day,,,,
AC,AC:transbay,AC:transbay,AC,AC:local:31-day,,,,
AC,AC:transbay,AC:transbay,AC,AC:transbay:31-day,,,,
AC:transbay,AC:local,AC:transbay,AC,AC:transbay:31-day,,,,
AC:transbay,AC:local,AC:transbay,AC,AC:transbay:single,,,,
AC:transbay,AC:transbay,AC:local,AC,AC:transbay:single,,,,
AC:transbay,AC:transbay,AC:local,AC,AC:transbay:31-day,,,,
AF,any,any,AF,AF:local:single,,,,
CC,any,any,CC,CC:local:31-day,,,,
CC,any,any,CC,CC:local:single,,,,
CC,any,any,CC,CC:all:31-day,,,,
CC,any,any,CC,CC:all:1-day,,,,
CC,any,any,CC,CC:local-eb-regional:31-day,,,,
CC,any,any,CC,CC:express-eb-regional:31-day,,,,
CC,any,any,CC:express,CC:express:single,,,,
CC,any,any,CC:express,CC:all:1-day,,,,
CC,any,any,CC:express,CC:all:31-day,,,,
CC,any,any,CC:express,CC:express-eb-regional:31-day,,,,
CM,any,any,CM,free,,,,
CT,CT:zone1,CT:zone1,CT,CT:1zone:1-day,,,,
CT,CT:zone1,CT:zone1,CT,CT:1zone:1-month,,,,
CT,CT:zone1,CT:zone1,CT,CT:multizone:3:1-month,,,,
CT,CT:zone1,CT:zone1,CT,CT:multizone:6:1-month,,,,
CT,CT:zone1,CT:zone1,CT,CT:multizone:2:1-month,,,,
CT,CT:zone1,CT:zone1,CT,CT:multizone:3:1-day,,,,
CT,CT:zone1,CT:zone1,CT,CT:multizone:4:1-day,,,,
CT,CT:zone1,CT:zone1,CT,CT:multizone:5:1-day,,,,
CT,CT:zone1,CT:zone1,CT,CT:multizone:2:1-day,,,,
CT,CT:zone1,CT:zone1,CT,CT:multizone:6:1-day,,,,
CT,CT:zone1,CT:zone1,CT,CT:multizone:4:1-month,,,,
CT,CT:zone1,CT:zone1,CT,CT:multizone:5:1-month,,,,
CT,CT:zone1,CT:zone2,CT,CT:multizone:2:1-day,,,,
CT,CT:zone1,CT:zone2,CT,CT:multizone:2:1-month,,,,
CT,CT:zone1,CT:zone2,CT,CT:multizone:3:1-month,,,,
CT,CT:zone1,CT:zone2,CT,CT:multizone:3:1-day,,,,
CT,CT:zone1,CT:zone2,CT,CT:multizone:4:1-month,,,,
CT,CT:zone1,CT:zone2,CT,CT:multizone:4:1-day,,,,
CT,CT:zone1,CT:zone2,CT,CT:multizone:5:1-month,,,,
CT,CT:zone1,CT:zone2,CT,CT:multizone:5:1-day,,,,
CT,CT:zone1,CT:zone2,CT,CT:multizone:6:1-month,,,,
CT,CT:zone1,CT:zone2,CT,CT:multizone:6:1-day,,,,
CT,CT:zone1,CT:zone3,CT,CT:multizone:3:1-day,,,,
CT,CT:zone1,CT:zone3,CT,CT:multizone:3:1-month,,,,
CT,CT:zone1,CT:zone3,CT,CT:multizone:4:1-day,,,,
CT,CT:zone1,CT:zone3,CT,CT:multizone:4:1-month,,,,
CT,CT:zone1,CT:zone3,CT,CT:multizone:5:1-day,,,,
CT,CT:zone1,CT:zone3,CT,CT:multizone:5:1-month,,,,
CT,CT:zone1,CT:zone3,CT,CT:multizone:6:1-month,,,,
CT,CT:zone1,CT:zone3,CT,CT:multizone:6:1-day,,,,
CT,CT:zone1,CT:zone4,CT,CT:multizone:4:1-month,,,,
CT,CT:zone1,CT:zone4,CT,CT:multizone:4:1-day,,,,
CT,CT:zone1,CT:zone4,CT,CT:multizone:5:1-day,,,,
CT,CT:zone1,CT:zone4,CT,CT:multizone:5:1-month,,,,
CT,CT:zone1,CT:zone4,CT,CT:multizone:6:1-month,,,,
CT,CT:zone1,CT:zone4,CT,CT:multizone:6:1-day,,,,
CT,CT:zone1,CT:zone5,CT,CT:multizone:5:1-month,,,,
CT,CT:zone1,CT:zone5,CT,CT:multizone:5:1-day,,,,
CT,CT:zone1,CT:zone5,CT,CT:multizone:6:1-day,,,,
CT,CT:zone1,CT:zone5,CT,CT:multizone:6:1-month,,,,
CT,CT:zone1,CT:zone6,CT,CT:multizone:6:1-month,,,,
CT,CT:zone1,CT:zone6,CT,CT:multizone:6:1-day,,,,
CT,CT:zone2,CT:zone1,CT,CT:multizone:2:1-month,,,,
CT,CT:zone2,CT:zone1,CT,CT:multizone:2:1-day,,,,
CT,CT:zone2,CT:zone1,CT,CT:multizone:3:1-day,,,,
CT,CT:zone2,CT:zone1,CT,CT:multizone:3:1-month,,,,
CT,CT:zone2,CT:zone1,CT,CT:multizone:4:1-month,,,,
CT,CT:zone2,CT:zone1,CT,CT:multizone:4:1-day,,,,
CT,CT:zone2,CT:zone1,CT,CT:multizone:5:1-month,,,,
CT,CT:zone2,CT:zone1,CT,CT:multizone:5:1-day,,,,
CT,CT:zone2,CT:zone1,CT,CT:multizone:6:1-day,,,,
CT,CT:zone2,CT:zone1,CT,CT:multizone:6:1-month,,,,
CT,CT:zone2,CT:zone2,CT,CT:1zone:1-day,,,,
CT,CT:zone2,CT:zone2,CT,CT:1zone:1-month,,,,
CT,CT:zone2,CT:zone2,CT,CT:multizone:2:1-day,,,,
CT,CT:zone2,CT:zone2,CT,CT:multizone:4:1-month,,,,
CT,CT:zone2,CT:zone2,CT,CT:multizone:6:1-month,,,,
CT,CT:zone2,CT:zone2,CT,CT:multizone:5:1-month,,,,
CT,CT:zone2,CT:zone2,CT,CT:multizone:6:1-day,,,,
CT,CT:zone2,CT:zone2,CT,CT:multizone:3:1-month,,,,
CT,CT:zone2,CT:zone2,CT,CT:multizone:5:1-day,,,,
CT,CT:zone2,CT:zone2,CT,CT:multizone:3:1-day,,,,
CT,CT:zone2,CT:zone2,CT,CT:multizone:2:1-month,,,,
CT,CT:zone2,CT:zone2,CT,CT:multizone:4:1-day,,,,
CT,CT:zone2,CT:zone3,CT,CT:multizone:2:1-month,,,,
CT,CT:zone2,CT:zone3,CT,CT:multizone:2:1-day,,,,
CT,CT:zone2,CT:zone3,CT,CT:multizone:3:1-day,,,,
CT,CT:zone2,CT:zone3,CT,CT:multizone:3:1-month,,,,
CT,CT:zone2,CT:zone3,CT,CT:multizone:4:1-day,,,,
CT,CT:zone2,CT:zone3,CT,CT:multizone:4:1-month,,,,
CT,CT:zone2,CT:zone3,CT,CT:multizone:5:1-day,,,,
CT,CT:zone2,CT:zone3,CT,CT:multizone:5:1-month,,,,
CT,CT:zone2,CT:zone3,CT,CT:multizone:6:1-month,,,,
CT,CT:zone2,CT:zone3,CT,CT:multizone:6:1-day,,,,
CT,CT:zone2,CT:zone4,CT,CT:multizone:3:1-day,,,,
CT,CT:zone2,CT:zone4,CT,CT:multizone:3:1-month,,,,
CT,CT:zone2,CT:zone4,CT,CT:multizone:4:1-day,,,,
CT,CT:zone2,CT:zone4,CT,CT:multizone:4:1-month,,,,
CT,CT:zone2,CT:zone4,CT,CT:multizone:5:1-day,,,,
CT,CT:zone2,CT:zone4,CT,CT:multizone:5:1-month,,,,
CT,CT:zone2,CT:zone4,CT,CT:multizone:6:1-month,,,,
CT,CT:zone2,CT:zone4,CT,CT:multizone:6:1-day,,,,
CT,CT:zone2,CT:zone5,CT,CT:multizone:4:1-day,,,,
CT,CT:zone2,CT:zone5,CT,CT:multizone:4:1-month,,,,
CT,CT:zone2,CT:zone5,CT,CT:multizone:5:1-month,,,,
CT,CT:zone2,CT:zone5,CT,CT:multizone:5:1-day,,,,
CT,CT:zone2,CT:zone5,CT,CT:multizone:6:1-day,,,,
CT,CT:zone2,CT:zone5,CT,CT:multizone:6:1-month,,,,
CT,CT:zone2,CT:zone6,CT,CT:multizone:5:1-month,,,,
