fare_product_id,fare_product_name,amount,currency,duration_start,duration_amount,duration_unit,duration_type,rider_category_id,fare_media_id
free,Free ride,0.00,USD,,,,,,
free-clipper,Free ride for Clipper users,0.00,USD,,,,,,clipper
transfer:free,Free transfer,0.00,USD,,,,,,
transfer:free-clipper,Free transfer for Clipper users,0.00,USD,,,,,,clipper
3D:local:single,Tri-Delta Transit single local fare,2.00,USD,,,,,adult,cash
3D:local:single,Tri-Delta Transit single local fare,2.00,USD,,,,,youth,cash
3D:local:single,Tri-Delta Transit single local fare,0.85,USD,,,,,smd,cash
3D:local:single,Tri-Delta Transit single local fare,0.00,USD,,,,,child-2,cash
3D:local:single,Tri-Delta Transit single local fare,2.00,USD,,,,,adult,clipper
3D:local:single,Tri-Delta Transit single local fare,2.00,USD,,,,,youth,clipper
3D:local:single,Tri-Delta Transit single local fare,0.85,USD,,,,,smd,clipper
3D:local:single,Tri-Delta Transit single local fare,0.00,USD,,,,,child-2,clipper
3D:regional:single,Tri-Delta Transit single regional fare,2.50,USD,,,,,adult,cash
3D:regional:single,Tri-Delta Transit single regional fare,2.50,USD,,,,,youth,cash
3D:regional:single,Tri-Delta Transit single regional fare,1.25,USD,,,,,smd,cash
3D:regional:single,Tri-Delta Transit single regional fare,0.00,USD,,,,,child-2,cash
3D:regional:single,Tri-Delta Transit single regional fare,2.50,USD,,,,,adult,clipper
3D:regional:single,Tri-Delta Transit single regional fare,2.50,USD,,,,,youth,clipper
3D:regional:single,Tri-Delta Transit single regional fare,1.25,USD,,,,,smd,clipper
3D:regional:single,Tri-Delta Transit single regional fare,0.00,USD,,,,,child-2,clipper
3D:transfer:ba-local-upgrade,Tri-Delta Transit BART local upgrade,1.25,USD,,,,,adult,clipper
3D:transfer:ba-local-upgrade,Tri-Delta Transit BART local upgrade,1.25,USD,,,,,youth,clipper
3D:transfer:ba-local-upgrade,Tri-Delta Transit BART local upgrade,0.85,USD,,,,,smd,clipper
3D:transfer:ba-local-upgrade,Tri-Delta Transit BART local upgrade,0.00,USD,,,,,child-2,clipper
3D:transfer:ba-regional-upgrade,Tri-Delta Transit BART regional upgrade,1.75,USD,,,,,adult,clipper
3D:transfer:ba-regional-upgrade,Tri-Delta Transit BART regional upgrade,1.75,USD,,,,,youth,clipper
3D:transfer:ba-regional-upgrade,Tri-Delta Transit BART regional upgrade,1.25,USD,,,,,smd,clipper
3D:transfer:ba-regional-upgrade,Tri-Delta Transit BART regional upgrade,0.00,USD,,,,,child-2,clipper
3D:local:31-day,Tri-Delta Transit 31 day pass,57.00,USD,,31.0,3,1,adult,cash
3D:local:day,Tri-Delta Transit 1 day pass,3.75,USD,,1.0,3,1,adult,cash
3D:local:day,Tri-Delta Transit 1 day pass,1.75,USD,,1.0,3,1,smd,cash
AC:local:single,AC Transit local fare,2.75,USD,,,,,adult,cash
AC:local:single,AC Transit local fare,1.35,USD,,,,,smd,cash
AC:local:single,AC Transit local fare,1.35,USD,,,,,youth,cash
AC:local:single,AC Transit local fare,0.00,USD,,,,,child,cash
AC:local:single,AC Transit local fare,2.50,USD,,,,,adult,clipper
AC:local:single,AC Transit local fare,1.25,USD,,,,,smd,clipper
AC:local:single,AC Transit local fare,1.25,USD,,,,,youth,clipper
AC:local:single,AC Transit local fare,0.00,USD,,,,,child,clipper
AC:transbay:single,AC Transit single transbay fare,6.50,USD,,,,,adult,cash
AC:transbay:single,AC Transit single transbay fare,3.25,USD,,,,,smd,cash
AC:transbay:single,AC Transit single transbay fare,3.25,USD,,,,,youth,cash
AC:transbay:single,AC Transit single transbay fare,0.00,USD,,,,,child,cash
AC:transbay:single,AC Transit single transbay fare,6.50,USD,,,,,adult,clipper
AC:transbay:single,AC Transit single transbay fare,3.25,USD,,,,,smd,clipper
AC:transbay:single,AC Transit single transbay fare,3.25,USD,,,,,youth,clipper
AC:transbay:single,AC Transit single transbay fare,0.00,USD,,,,,child,clipper
AC:transfer:transbay-upgrade,AC Transit Transbay upgrade,3.75,USD,,,,,adult,cash
AC:transfer:transbay-upgrade,AC Transit Transbay upgrade,1.90,USD,,,,,smd,cash
AC:transfer:transbay-upgrade,AC Transit Transbay upgrade,1.90,USD,,,,,youth,cash
AC:transfer:transbay-upgrade,AC Transit Transbay upgrade,0.00,USD,,,,,child,cash
AC:transfer:transbay-upgrade,AC Transit Transbay upgrade,4.00,USD,,,,,adult,clipper
AC:transfer:transbay-upgrade,AC Transit Transbay upgrade,2.00,USD,,,,,smd,clipper
AC:transfer:transbay-upgrade,AC Transit Transbay upgrade,2.00,USD,,,,,youth,clipper
AC:transfer:transbay-upgrade,AC Transit Transbay upgrade,0.00,USD,,,,,child,clipper
AC:local:day,AC Transit local day pass,6.00,USD,,1.0,3,1,adult,cash
AC:local:day,AC Transit local day pass,3.00,USD,,1.0,3,1,smd,cash
AC:local:day,AC Transit local day pass,3.00,USD,,1.0,3,1,youth,cash
AC:local:day,AC Transit local day pass,0.00,USD,,1.0,3,1,child,cash
AC:local:day,AC Transit local day pass,5.50,USD,,1.0,3,1,adult,clipper
AC:local:day,AC Transit local day pass,2.75,USD,,1.0,3,1,smd,clipper
AC:local:day,AC Transit local day pass,2.75,USD,,1.0,3,1,youth,clipper
AC:local:day,AC Transit local day pass,0.00,USD,,1.0,3,1,child,clipper
AC:local:31-day,AC Transit 31-day local pass,90.00,USD,,31.0,3,1,adult,clipper
