from_leg_group_id,to_leg_group_id,transfer_count,duration_limit,duration_limit_type,fare_transfer_type,fare_product_id,filter_fare_product_id
3D,3D,-1,7200,1,0,transfer:free-clipper,
BA,3D,,7200,2,0,3D:transfer:ba-local-upgrade,
CC,3D,,7200,1,0,transfer:free-clipper,
WC,3D,,7200,1,0,transfer:free-clipper,
WH,3D,,7200,1,0,transfer:free-clipper,
BA,3D:regional,,7200,2,0,3D:transfer:ba-regional-upgrade,
AC:transbay,AC,,7200,1,0,transfer:free-clipper,
BA,AC,,5400,2,1,AC:transfer:ba-credit,
CE,AC,,,,0,transfer:free-clipper,
CT,AC,,7200,2,0,transfer:free-clipper,CT:multizone:4:1-month
CT,AC,,7200,2,0,transfer:free-clipper,CT:multizone:3:1-month
CT,AC,,7200,2,0,transfer:free-clipper,CT:multizone:2:1-month
CT,AC,,7200,2,0,transfer:free-clipper,CT:multizone:5:1-month
CT,AC,,7200,2,0,transfer:free-clipper,CT:multizone:6:1-month
GG,AC,,9000,2,0,transfer:free-clipper,
SB,AC,,5400,2,0,transfer:free-clipper,
SC,AC,,9000,1,0,transfer:free-clipper,SC:all:1-month
SC,AC,,9000,1,0,transfer:free-clipper,SC:local:1-month
SC,AC,,9000,1,0,transfer:free-clipper,SC:local:1-year
SC,AC,,9000,1,0,transfer:free-clipper,SC:all:1-year
SC:express,AC,,9000,1,0,transfer:free-clipper,SC:all:1-month
SC:express,AC,,9000,1,0,transfer:free-clipper,SC:local:1-month
SC:express,AC,,9000,1,0,transfer:free-clipper,SC:local:1-year
SC:express,AC,,9000,1,0,transfer:free-clipper,SC:all:1-year
SM,AC,,7200,1,0,transfer:free-clipper,
SM:express,AC,,7200,1,0,transfer:free-clipper,
UC,AC,,5400,1,0,transfer:free-clipper,
WC,AC,,3600,1,0,transfer:free-clipper,
AC,AC:transbay,,7200,1,0,AC:transfer:transbay-upgrade,
CE,AC:transbay,,,,0,AC:transfer:transbay-upgrade,
CT,AC:transbay,,7200,2,0,AC:transfer:transbay-upgrade,CT:multizone:2:1-month
CT,AC:transbay,,7200,2,0,AC:transfer:transbay-upgrade,CT:multizone:4:1-month
CT,AC:transbay,,7200,2,0,AC:transfer:transbay-upgrade,CT:multizone:3:1-month
CT,AC:transbay,,7200,2,0,AC:transfer:transbay-upgrade,CT:multizone:6:1-month
CT,AC:transbay,,7200,2,0,AC:transfer:transbay-upgrade,CT:multizone:5:1-month
GG,AC:transbay,,9000,2,0,AC:transfer:transbay-upgrade,
SB,AC:transbay,,5400,2,0,AC:transfer:transbay-upgrade,
SC,AC:transbay,,9000,1,0,AC:transfer:transbay-upgrade,SC:local:1-month
SC,AC:transbay,,9000,1,0,AC:transfer:transbay-upgrade,SC:all:1-month
SC,AC:transbay,,9000,1,0,AC:transfer:transbay-upgrade,SC:local:1-year
SC,AC:transbay,,9000,1,0,AC:transfer:transbay-upgrade,SC:all:1-year
SC:express,AC:transbay,,9000,1,0,AC:transfer:transbay-upgrade,SC:local:1-month
SC:express,AC:transbay,,9000,1,0,AC:transfer:transbay-upgrade,SC:all:1-month
SC:express,AC:transbay,,9000,1,0,AC:transfer:transbay-upgrade,SC:local:1-year
SC:express,AC:transbay,,9000,1,0,AC:transfer:transbay-upgrade,SC:all:1-year
SM,AC:transbay,,7200,1,0,AC:transfer:transbay-upgrade,
SM:express,AC:transbay,,7200,1,0,AC:transfer:transbay-upgrade,
UC,AC:transbay,,5400,1,0,AC:transfer:transbay-upgrade,
3D,CC,,7200,1,0,transfer:free-clipper,
3D:regional,CC,,7200,1,0,transfer:free-clipper,
BA,CC,,7200,2,0,CC:transfer:ba-upgrade,
CC,CC,-1,7200,1,0,transfer:free-clipper,
FS,CC,,7200,1,0,transfer:free-clipper,
ST,CC,,7200,1,0,transfer:free-clipper,
WC,CC,,7200,1,0,transfer:free-clipper,
WH,CC,,7200,1,0,transfer:free-clipper,
AC:transbay,DE,,7200,1,0,transfer:free-clipper,
BA,DE,,5400,2,1,DE:transfer:ba-credit,
CT,DE,,7200,2,0,transfer:free-clipper,CT:multizone:2:1-month
CT,DE,,7200,2,0,transfer:free-clipper,CT:multizone:6:1-month
CT,DE,,7200,2,0,transfer:free-clipper,CT:multizone:4:1-month
CT,DE,,7200,2,0,transfer:free-clipper,CT:multizone:5:1-month
CT,DE,,7200,2,0,transfer:free-clipper,CT:multizone:3:1-month
DE:transbay,DE,,5400,1,0,transfer:free-clipper,
